CollegeCode,College,DepartmentCode,Department,Subject,CourseNumber,CRN,Section,CourseTitle,Campus,CreditHours,SeatLimit,Enrolled,Remaining,RoomCapacity,CorequisiteIndicator,WLCapacity,WLActual,WLRemaining,Status,Instructor,StartDate,EndDate,StartTime,EndTime,Days,Building,PartofTerm,AllFacultyLastName,AllFacultyP,ApproveTypeCode,AllFacultyFullName
AP,Architecture and Planning,ARCH,Architecture,ARCH,214,28371,4,Arch Build Tech 1,M,3,20,20,0,60,N,0,0,0,Active,Gray,8/21/17,12/11/17,1100,1150,M  W  F ,AB 101,1,"Church, Derhammer, Gray","R. Church, B. Derhammer, T. Gray (P)",,"Robert Church, Bryce Derhammer, Timothy Gray (P)"
AP,Architecture and Planning,ARCH,Architecture,ARCH,218,13357,1,Structural Systems 1,M,3,10,5,5,16,N,0,0,0,Active,Swartz,8/21/17,12/11/17,930,1045, T  R  ,AB 425,1,Swartz,A. Swartz,SP,Andrea Swartz
AP,Architecture and Planning,ARCH,Architecture,ARCH,218,19862,2,Structural Systems 1,M,,0,0,0,,N,0,0,0,Cancelled,,,,,,     , ,1,No Instructor Listed,No Instructor Listed,,No Instructor Listed
AP,Architecture and Planning,ARCH,Architecture,ARCH,218,28037,3,Structural Systems 1,M,3,0,0,0,,N,0,0,0,Cancelled,,,,,,     , ,1,No Instructor Listed,No Instructor Listed,SP,No Instructor Listed
AP,Architecture and Planning,ARCH,Architecture,ARCH,229,13358,1,History of Architecture 1,M,3,43,43,0,60,N,0,0,0,Active,Wilson,8/21/17,12/11/17,930,1045, T  R  ,AB 101,1,"Herbst, Wilson","Z. Herbst, M. Wilson (P)",,"Zachariah Herbst, Matthew Wilson (P)"
AP,Architecture and Planning,ARCH,Architecture,ARCH,229,17291,2,History of Architecture 1,M,3,43,43,0,60,N,0,0,0,Active,Wilson,8/21/17,12/11/17,1230,1345, T  R  ,AB 101,1,"Herbst, Wilson","Z. Herbst, M. Wilson (P)",,"Zachariah Herbst, Matthew Wilson (P)"
AP,Architecture and Planning,ARCH,Architecture,ARCH,251,24903,1,Social and Env Justice in Dsgn,M,3,26,26,0,42,N,0,0,0,Active,Dotson,8/21/17,12/11/17,1530,1645, T  R  ,AB 210,1,"Dotson, Elvin, Keddy, Wang","O. Dotson (P), G. Elvin, K. Keddy, S. Wang",,"Olon Dotson (P), George Elvin, Karen Keddy, Shan Wang"
AP,Architecture and Planning,ARCH,Architecture,ARCH,251,24904,2,Social and Env Justice in Dsgn,M,3,27,27,0,34,N,0,0,0,Active,Elvin,8/21/17,12/11/17,1530,1645, T  R  ,AB 310,1,"Dotson, Elvin, Keddy, Raschke","O. Dotson, G. Elvin (P), K. Keddy, R. Raschke",,"Olon Dotson, George Elvin (P), Karen Keddy, Robert Raschke"
AP,Architecture and Planning,ARCH,Architecture,ARCH,251,28197,3,Social and Env Justice in Dsgn,M,3,25,25,0,42,N,0,0,0,Active,Keddy,8/21/17,12/11/17,1530,1645, T  R  ,AB 410,1,"Dotson, Elvin, Keddy, Schultz, Wang","O. Dotson, G. Elvin, K. Keddy (P), M. Schultz, S. Wang",,"Olon Dotson, George Elvin, Karen Keddy (P), Molly Schultz, Shan Wang"
AP,Architecture and Planning,ARCH,Architecture,ARCH,263,11841,1,Digital Design,M,3,30,30,0,100,N,0,0,0,Active,Coggeshall,8/21/17,12/11/17,1100,1215, T  R  ,AJ 225,1,"Coggeshall, Derhammer","J. Coggeshall (P), R. Derhammer",,"Joshua Coggeshall (P), Reva Derhammer"
AP,Architecture and Planning,ARCH,Architecture,ARCH,263,28220,2,Digital Design,M,3,28,28,0,100,N,0,0,0,Active,Kerestes,8/21/17,12/11/17,1100,1215, T  R  ,AJ 225,1,"Herbst, Kerestes","Z. Herbst, J. Kerestes (P)",,"Zachariah Herbst, James Kerestes (P)"
AP,Architecture and Planning,ARCH,Architecture,ARCH,263,28221,3,Digital Design,M,3,28,28,0,100,N,0,0,0,Active,Tursky,8/21/17,12/11/17,1100,1215, T  R  ,AJ 225,1,"Bauer, Tursky","T. Bauer, R. Tursky (P)",,"Trevor Bauer, Richard Tursky (P)"
AP,Architecture and Planning,ARCH,Architecture,ARCH,301,11842,1,Architectural Design,M,5,18,14,4,24,N,0,0,0,Active,Coggeshall,8/21/17,12/11/17,1300,1650,M  W  F ,AB 319,1,Coggeshall,J. Coggeshall,,Joshua Coggeshall
AP,Architecture and Planning,ARCH,Architecture,ARCH,301,13364,2,Architectural Design,M,5,13,13,0,24,N,0,0,0,Active,Church,8/21/17,12/11/17,1300,1650,M  W  F ,AB 320,1,Church,R. Church,,Robert Church
AP,Architecture and Planning,ARCH,Architecture,ARCH,301,13365,3,Architectural Design,M,5,12,12,0,24,N,0,0,0,Active,Collins,8/21/17,12/11/17,1300,1650,M  W  F ,AB 320,1,Collins,T. Collins,,Thomas Collins
AP,Architecture and Planning,ARCH,Architecture,ARCH,301,13366,4,Architectural Design,M,5,17,14,3,24,N,0,0,0,Active,Gray,8/21/17,12/11/17,1300,1650,M  W  F ,AB 321,1,Gray,T. Gray,,Timothy Gray
AP,Architecture and Planning,ARCH,Architecture,ARCH,301,19863,5,Architectural Design,M,5,14,14,0,24,N,0,0,0,Active,Koester,8/21/17,12/11/17,1300,1650,M  W  F ,AB 321,1,Koester,R. Koester,,Robert Koester
AP,Architecture and Planning,ARCH,Architecture,ARCH,318,11843,1,Structural Systems 2,M,3,21,21,0,28,N,0,0,0,Active,Cruz,8/21/17,12/11/17,1230,1345, T  R  ,AB 004,1,"Burns, Cruz, Isaacs","S. Burns, C. Cruz (P), Z. Isaacs",,"Sean Burns, Cesar Cruz (P), Zachary Isaacs"
AP,Architecture and Planning,ARCH,Architecture,ARCH,318,26920,2,Structural Systems 2,M,3,0,0,0,,N,0,0,0,Cancelled,,,,,,     , ,1,No Instructor Listed,No Instructor Listed,,No Instructor Listed
AP,Architecture and Planning,ARCH,Architecture,ARCH,329,11844,1,History of Architecture 2,M,,35,35,0,42,N,0,0,0,Active,Barry,8/21/17,12/11/17,930,1045, T  R  ,AB 410,1,"Barhorst, Barry","C. Barhorst, K. Barry (P)",,"Caitlyn Barhorst, Kristin Barry (P)"
AP,Architecture and Planning,ARCH,Architecture,ARCH,329,25495,2,History of Architecture 2,M,,35,35,0,42,N,0,0,0,Active,Barry,8/21/17,12/11/17,1230,1345, T  R  ,AB 410,1,"Barhorst, Barry","C. Barhorst, K. Barry (P)",,"Caitlyn Barhorst, Kristin Barry (P)"
AP,Architecture and Planning,ARCH,Architecture,ARCH,373,11845,1,Environmental Systems 2,M,3,24,24,0,42,N,0,0,0,Active,Overbey,8/21/17,12/11/17,800,850,  W   ,AB 410,1,"Khader, Overbey","H. Khader, D. Overbey (P)",,"Haneen Maher Khader, Daniel Overbey (P)"
AP,Architecture and Planning,ARCH,Architecture,ARCH,373,11845,1,Environmental Systems 2,M,3,24,24,0,,N,0,0,0,Active,Overbey,8/21/17,12/11/17,,,     , ,1,"Khader, Overbey","H. Khader, D. Overbey (P)",,"Haneen Maher Khader, Daniel Overbey (P)"
AP,Architecture and Planning,ARCH,Architecture,ARCH,373,13362,2,Environmental Systems 2,M,3,24,24,0,42,N,0,0,0,Active,Collins,8/21/17,12/11/17,1000,1050,M  W  F ,AB 410,1,"Collins, Markiewicz","T. Collins (P), J. Markiewicz",,"Thomas Collins (P), Joshua Markiewicz"
AP,Architecture and Planning,ARCH,Architecture,ARCH,373,25418,3,Environmental Systems 2,M,3,23,23,0,42,N,0,0,0,Active,Grondzik,8/21/17,12/11/17,1100,1150,M  W  F ,AB 410,1,"Grondzik, Olson","W. Grondzik (P), M. Olson",,"Walter Grondzik (P), Mason Olson"
AP,Architecture and Planning,ARCH,Architecture,ARCH,401,11846,1,Architectural Design,M,5,15,15,0,24,N,0,0,0,Active,Bilello,8/21/17,12/11/17,1300,1650,M  W  F ,AB 419,1,Bilello,J. Bilello,,Joseph Bilello
AP,Architecture and Planning,ARCH,Architecture,ARCH,401,13367,2,Architectural Design,M,5,15,15,0,25,N,0,0,0,Active,Dotson,8/21/17,12/11/17,1300,1650,M  W  F ,AB 420,1,Dotson,O. Dotson,,Olon Dotson
AP,Architecture and Planning,ARCH,Architecture,ARCH,401,13368,3,Architectural Design,M,5,14,14,0,25,N,0,0,0,Active,Harwood,8/21/17,12/11/17,1300,1650,M  W  F ,AB 420,1,Harwood,P. Harwood,,Pamela Harwood
AP,Architecture and Planning,ARCH,Architecture,ARCH,401,13369,4,Architectural Design,M,5,12,12,0,24,N,0,0,0,Active,Klinger,8/21/17,12/11/17,1300,1650,M  W  F ,AB 421,1,Klinger,K. Klinger,,Kevin Klinger
AP,Architecture and Planning,ARCH,Architecture,ARCH,407,26499,1,Fourth World Theory,M,3,10,0,10,,N,0,0,0,Hold,,,,,,     , ,1,No Instructor Listed,No Instructor Listed,,No Instructor Listed
AP,Architecture and Planning,ARCH,Architecture,ARCH,410,28370,1,Critical Practice,M,3,10,6,4,,N,0,0,0,Active,Church,8/21/17,12/11/17,1530,1810,   R  , ,1,Church,R. Church,,Robert Church
AP,Architecture and Planning,ARCH,Architecture,ARCH,418,11847,1,Structural Systems 3,M,3,28,28,0,34,N,0,0,0,Active,Underwood,8/21/17,12/11/17,930,1045, T  R  ,AB 310,1,Underwood,J. Underwood,,James Underwood
AP,Architecture and Planning,ARCH,Architecture,ARCH,428,11893,1,Hist of Arch Built Environment,M,3,6,2,4,28,N,0,0,0,Active,Wilson,8/21/17,12/11/17,1830,2110, T    ,AB 004,1,Wilson,M. Wilson,,Matthew Wilson
AP,Architecture and Planning,ARCH,Architecture,ARCH,429,16822,1,Appl Cultl to Desgn Plng,M,3,0,0,0,,N,0,0,0,Cancelled,,,,,,     , ,1,No Instructor Listed,No Instructor Listed,,No Instructor Listed
AP,Architecture and Planning,ARCH,Architecture,ARCH,429,28333,2,Appl Cultl to Desgn Plng,M,3,18,18,0,18,N,0,0,0,Active,Harwood,8/21/17,12/11/17,1230,1345, T  R  ,TC 411,1,"Harwood, Pease","P. Harwood (P), J. Pease",,"Pamela Harwood (P), Jennifer Pease"
AP,Architecture and Planning,ARCH,Architecture,ARCH,440,11894,1,Intro to Pres,M,3,11,11,0,24,N,5,0,5,Active,Hall,8/21/17,12/11/17,1830,2110,M     ,AB 403,1,"Alexander, Hall","K. Alexander, J. Hall (P)",,"Kelyn Alexander, James Hall (P)"
AP,Architecture and Planning,ARCH,Architecture,ARCH,442,11895,1,Pres Res Meth,M,3,8,4,4,16,N,0,0,0,Active,Spodek,8/21/17,12/11/17,1530,1810,   R  ,AB 425,1,Spodek,J. Spodek,,Jonathan Spodek
AP,Architecture and Planning,ARCH,Architecture,ARCH,490,11948,1,Independent Project,M,1,10,8,2,,N,0,0,0,Active,Wilson,8/21/17,12/11/17,,,     , ,1,Wilson,M. Wilson,,Matthew Wilson
AP,Architecture and Planning,ARCH,Architecture,ARCH,490,21025,2,Independent Project,M,2,1,1,0,,N,0,0,0,Active,Burns,8/21/17,12/11/17,,,     , ,1,Burns,S. Burns,SP,Sean Burns
AP,Architecture and Planning,ARCH,Architecture,ARCH,490,21276,3,Independent Project,M,3,1,0,1,,N,0,0,0,Active,,,,,,     , ,1,No Instructor Listed,No Instructor Listed,SP,No Instructor Listed
AP,Architecture and Planning,ARCH,Architecture,ARCH,490,21279,4,Independent Project,M,3,1,0,1,,N,0,0,0,Active,,,,,,     , ,1,No Instructor Listed,No Instructor Listed,SP,No Instructor Listed
AP,Architecture and Planning,ARCH,Architecture,ARCH,490,23387,5,Independent Project,M,3,1,0,1,,N,0,0,0,Active,,,,,,     , ,1,No Instructor Listed,No Instructor Listed,SP,No Instructor Listed
AP,Architecture and Planning,ARCH,Architecture,ARCH,498,25443,1A,Spec Proj in Arch,M,3,11,11,0,24,N,0,0,0,Active,Barry,8/21/17,12/11/17,1530,1810, T    ,AB 403,1,Barry,K. Barry,,Kristin Barry
AP,Architecture and Planning,ARCH,Architecture,ARCH,498,25441,1B,Spec Proj in Arch,M,3,0,0,0,,N,0,0,0,Cancelled,,,,,,     , ,1,No Instructor Listed,No Instructor Listed,,No Instructor Listed
AP,Architecture and Planning,ARCH,Architecture,ARCH,498,25442,1C,Spec Proj in Arch,M,3,0,0,0,,N,0,0,0,Cancelled,,,,,,     , ,1,No Instructor Listed,No Instructor Listed,,No Instructor Listed
AP,Architecture and Planning,ARCH,Architecture,ARCH,501,11921,1,Compr Arch Studio,M,6,12,11,1,26,N,0,0,0,Active,Eggink,8/21/17,12/11/17,1300,1650,M  W  F ,AB 417,1,Eggink,H. Eggink,,Harry Eggink
AP,Architecture and Planning,ARCH,Architecture,ARCH,501,13370,2,Compr Arch Studio,M,6,0,0,0,,N,0,0,0,Cancelled,,,,,,     , ,1,No Instructor Listed,No Instructor Listed,,No Instructor Listed
AP,Architecture and Planning,ARCH,Architecture,ARCH,503,17429,1,Res Meth in Arch,M,3,11,10,1,24,N,0,0,0,Active,Bilello,8/21/17,12/11/17,1530,1810,   R  ,AB 403,1,Bilello,J. Bilello,,Joseph Bilello
AP,Architecture and Planning,ARCH,Architecture,ARCH,503,17430,2,Res Meth in Arch,M,3,0,0,0,,N,0,0,0,Cancelled,,,,,,     , ,1,No Instructor Listed,No Instructor Listed,,No Instructor Listed
AP,Architecture and Planning,ARCH,Architecture,ARCH,506,17428,1,Pres Prof Project,M,6,7,7,0,28,N,0,0,0,Active,Spodek,8/21/17,12/11/17,1300,1650,M  W  F ,AB 213,1,"Hall, Spodek","J. Hall, J. Spodek (P)",,"James Hall, Jonathan Spodek (P)"
AP,Architecture and Planning,ARCH,Architecture,ARCH,507,26500,1,Fourth World Theory,M,3,7,0,7,,N,0,0,0,Hold,,8/21/17,12/11/17,,,     , ,1,No Instructor Listed,No Instructor Listed,,No Instructor Listed
AP,Architecture and Planning,ARCH,Architecture,ARCH,520,17431,1,Professional Practice,M,3,12,11,1,24,N,0,0,0,Active,Risting,8/21/17,12/11/17,930,1210,   R  ,AB 403,1,Risting,S. Risting,,Steven Risting
AP,Architecture and Planning,ARCH,Architecture,ARCH,528,11887,1,Hist of Arch Built Environment,M,3,14,13,1,28,N,0,0,0,Active,Wilson,8/21/17,12/11/17,1830,2110, T    ,AB 004,1,Wilson,M. Wilson,,Matthew Wilson
AP,Architecture and Planning,ARCH,Architecture,ARCH,540,11888,1,Intro to Pres,M,3,6,3,3,24,N,0,0,0,Active,Hall,8/21/17,12/11/17,1830,2110,M     ,AB 403,1,Hall,J. Hall,,James Hall
AP,Architecture and Planning,ARCH,Architecture,ARCH,542,11889,1,Pres Res Meth,M,3,6,6,0,16,N,0,0,0,Active,Spodek,8/21/17,12/11/17,1530,1810,   R  ,AB 425,1,Spodek,J. Spodek,,Jonathan Spodek
AP,Architecture and Planning,ARCH,Architecture,ARCH,555,11929,1C,Immersive Away Experience,OF,0,15,15,0,,N,0,0,0,Active,Overbey,8/21/17,12/11/17,,,     , ,1,"Khader, Overbey","H. Khader, D. Overbey (P)",,"Haneen Maher Khader, Daniel Overbey (P)"
AP,Architecture and Planning,ARCH,Architecture,ARCH,581,17613,1,Des Comp and Fab Core Projs,M,3,6,5,1,16,N,0,0,0,Active,Eisinger,8/21/17,12/11/17,1530,1810, T    ,AB 425,1,Eisinger,D. Eisinger,,Daniel Eisinger
AP,Architecture and Planning,ARCH,Architecture,ARCH,590,21283,1,Independent Study,M,1,1,0,1,,N,0,0,0,Active,,8/21/17,12/11/17,,,     , ,1,No Instructor Listed,No Instructor Listed,SP,No Instructor Listed
AP,Architecture and Planning,ARCH,Architecture,ARCH,590,22019,2,Independent Study,M,2,1,0,1,,N,0,0,0,Active,,8/21/17,12/11/17,,,     , ,1,No Instructor Listed,No Instructor Listed,SP,No Instructor Listed
AP,Architecture and Planning,ARCH,Architecture,ARCH,590,22020,3,Independent Study,M,3,1,1,0,,N,0,0,0,Active,Barry,8/21/17,12/11/17,,,     , ,1,Barry,K. Barry,SP,Kristin Barry
AP,Architecture and Planning,ARCH,Architecture,ARCH,590,22022,4,Independent Study,M,3,1,1,0,,N,0,0,0,Active,Dotson,8/21/17,12/11/17,,,     , ,1,Dotson,O. Dotson,SP,Olon Dotson
AP,Architecture and Planning,ARCH,Architecture,ARCH,590,24957,5,Independent Study,M,3,1,1,0,,N,0,0,0,Active,Fillwalk,8/21/17,12/11/17,,,     , ,1,Fillwalk,J. Fillwalk,SP,John Fillwalk
AP,Architecture and Planning,ARCH,Architecture,ARCH,593,26562,1,Des Computation and Fab Apps,M,3,10,10,0,24,N,0,0,0,Active,Tursky,8/21/17,12/11/17,1830,2110,   R  ,AB 225,1,Tursky,R. Tursky,,Richard Tursky
AP,Architecture and Planning,ARCH,Architecture,ARCH,594,27910,1,Immersive Practicum,M,3,0,0,0,,N,0,0,0,Cancelled,,,,,,     , ,1,No Instructor Listed,No Instructor Listed,,No Instructor Listed
AP,Architecture and Planning,ARCH,Architecture,ARCH,598,20928,1A,Spec Proj in Arch,M,3,8,8,0,24,N,0,0,0,Active,Barry,8/21/17,12/11/17,1530,1810, T    ,AB 403,1,Barry,K. Barry,,Kristin Barry
AP,Architecture and Planning,ARCH,Architecture,ARCH,598,20929,1B,Spec Proj in Arch,M,3,0,0,0,,N,0,0,0,Cancelled,,,,,,     , ,1,No Instructor Listed,No Instructor Listed,,No Instructor Listed
AP,Architecture and Planning,ARCH,Architecture,ARCH,598,20930,1C,Spec Proj in Arch,M,3,0,0,0,,N,0,0,0,Cancelled,,,,,,     , ,1,No Instructor Listed,No Instructor Listed,,No Instructor Listed
AP,Architecture and Planning,ARCH,Architecture,ARCH,601,11931,1,Architecture Topics Studio,M,6,9,9,0,26,N,0,0,0,Active,Elvin,8/21/17,12/11/17,1300,1650,M  W  F ,AB 416,1,Elvin,G. Elvin,,George Elvin
AP,Architecture and Planning,ARCH,Architecture,ARCH,601,13371,2,Architecture Topics Studio,M,6,8,8,0,26,N,0,0,0,Active,Kerestes,8/21/17,12/11/17,1300,1650,M  W  F ,AB 416,1,Kerestes,J. Kerestes,,James Kerestes
AP,Architecture and Planning,ARCH,Architecture,ARCH,601,28338,3,Architecture Topics Studio,M,6,8,8,0,25,N,0,0,0,Active,Mounayar,8/21/17,12/11/17,1300,1650,M  W  F ,AB 415,1,Mounayar,M. Mounayar,,Michel Mounayar
AP,Architecture and Planning,ARCH,Architecture,ARCH,601,28339,4,Architecture Topics Studio,M,6,9,9,0,25,N,0,0,0,Active,Tursky,8/21/17,12/11/17,1300,1650,M  W  F ,AB 415,1,Tursky,R. Tursky,,Richard Tursky
AP,Architecture and Planning,ARCH,Architecture,ARCH,603,11934,1,Final Proj Prep,M,1,18,18,0,60,N,0,0,0,Active,Mounayar,8/21/17,12/11/17,1200,1250,  W   ,AB 101,1,Mounayar,M. Mounayar,,Michel Mounayar
AP,Architecture and Planning,ARCH,Architecture,ARCH,603,26438,2,Final Proj Prep,M,1,18,16,2,60,N,0,0,0,Active,Eggink,8/21/17,12/11/17,1200,1250,  W   ,AB 101,1,Eggink,H. Eggink,,Harry Eggink
AP,Architecture and Planning,ARCH,Architecture,ARCH,632,17439,1,High Performance Buildings,M,3,0,0,0,,N,0,0,0,Cancelled,,,,,,     , ,1,No Instructor Listed,No Instructor Listed,,No Instructor Listed
AP,Architecture and Planning,ARCH,Architecture,ARCH,633,17606,1,Adv Tech for Grn Bldng,M,3,13,13,0,24,N,5,0,5,Active,Grondzik,8/21/17,12/11/17,1830,2110,  W   ,AB 403,1,Grondzik,W. Grondzik,,Walter Grondzik
AP,Architecture and Planning,ARCH,Architecture,ARCH,634,27911,1,Advanced Fabrication,M,3,0,0,0,,N,0,0,0,Cancelled,,,,,,     , ,1,No Instructor Listed,No Instructor Listed,,No Instructor Listed
AP,Architecture and Planning,ARCH,Architecture,ARCH,641,27908,1,"Citznshp, Wrldvews, Pub Sphere",M,3,10,10,0,24,N,5,0,5,Active,Keddy,8/21/17,12/11/17,900,1130,  W   ,AB 403,1,Keddy,K. Keddy,,Karen Keddy
AP,Architecture and Planning,ARCH,Architecture,ARCH,644,27909,1,Theories of Sustainability,M,3,0,0,0,,N,0,0,0,Cancelled,,,,,,     , ,1,No Instructor Listed,No Instructor Listed,,No Instructor Listed
AP,Architecture and Planning,ARCH,Architecture,ARCH,669,28605,1C,Hist Preservation Internship,OF,0,3,3,0,,N,0,0,0,Active,Spodek,8/21/17,12/11/17,,,     , ,1,Spodek,J. Spodek,,Jonathan Spodek
AP,Architecture and Planning,CMID,Construction Mgt & Int Design,FCID,101,14521,1,Rapid Visualization,M,3,17,17,0,24,N,0,0,0,Active,Smith,8/21/17,12/11/17,1000,1150,M  W   ,AT 262G,1,"Ahmadi, Smith","R. Ahmadi, M. Smith (P)",,"Reza Ahmadi, Miles Smith (P)"
AP,Architecture and Planning,CMID,Construction Mgt & Int Design,FCID,101,17257,2,Rapid Visualization,M,3,17,17,0,20,N,0,0,0,Active,Ahmadi,8/21/17,12/11/17,1000,1150,M  W   ,AT 262F,1,Ahmadi,R. Ahmadi,,Reza Ahmadi
AP,Architecture and Planning,CMID,Construction Mgt & Int Design,FCID,101,27658,3,Rapid Visualization,M,3,15,0,15,,N,0,0,0,Cancelled,,,,,,     , ,1,No Instructor Listed,No Instructor Listed,,No Instructor Listed
AP,Architecture and Planning,CMID,Construction Mgt & Int Design,FCID,110,14526,1,Design Fundamentals,M,3,17,18,-1,24,N,0,0,0,Active,Smith,8/21/17,12/11/17,1200,1350,M  W   ,AT 262G,1,"Angne Alfaro, Smith","S. Angne Alfaro, M. Smith (P)",,"Sarah Angne Alfaro, Miles Smith (P)"
AP,Architecture and Planning,CMID,Construction Mgt & Int Design,FCID,110,17258,2,Design Fundamentals,M,3,17,18,-1,20,N,0,0,0,Active,Angne Alfaro,8/21/17,12/11/17,1200,1350,M  W   ,AT 262F,1,Angne Alfaro,S. Angne Alfaro,,Sarah Angne Alfaro
AP,Architecture and Planning,CMID,Construction Mgt & Int Design,FCID,110,20743,3,Design Fundamentals,M,3,0,0,0,,N,0,0,0,Cancelled,,,,,,     , ,1,No Instructor Listed,No Instructor Listed,,No Instructor Listed
AP,Architecture and Planning,CMID,Construction Mgt & Int Design,FCID,120,21916,1,Graphic Communication 2,M,3,14,0,14,,N,0,0,0,Cancelled,,,,,,     , ,1,No Instructor Listed,No Instructor Listed,,No Instructor Listed
AP,Architecture and Planning,CMID,Construction Mgt & Int Design,FCID,120,21917,2,Graphic Communication 2,M,3,14,0,14,,N,0,0,0,Cancelled,,,,,,     , ,1,No Instructor Listed,No Instructor Listed,,No Instructor Listed
AP,Architecture and Planning,CMID,Construction Mgt & Int Design,FCID,210,14533,1,Hist and Theoretical Studies 1,M,3,45,20,25,48,N,0,0,0,Active,Potts,8/21/17,12/11/17,1000,1050,M  W  F ,AT 181,1,Potts,D. Potts,,Dale Potts
AP,Architecture and Planning,CMID,Construction Mgt & Int Design,FCID,210,17838,1P,Hist and Theoretical Studies 1,IR,3,1,0,1,,N,0,0,0,Cancelled,,,,,,     , ,1,No Instructor Listed,No Instructor Listed,SP,No Instructor Listed
AP,Architecture and Planning,CMID,Construction Mgt & Int Design,FCID,221,19389,1,Graphic Communication 3,M,3,18,17,1,20,N,0,0,0,Active,Potts,8/21/17,12/11/17,1230,1420, T  R  ,BC 137,1,Potts,D. Potts,,Dale Potts
AP,Architecture and Planning,CMID,Construction Mgt & Int Design,FCID,221,24292,2,Graphic Communication 3,M,3,12,0,12,,N,0,0,0,Cancelled,,8/21/17,12/11/17,1530,1720, T  R  , ,1,No Instructor Listed,No Instructor Listed,,No Instructor Listed
AP,Architecture and Planning,CMID,Construction Mgt & Int Design,FCID,222,14539,1,Interior Design Studio 1,M,3,12,11,1,20,N,0,0,0,Active,Potts,8/21/17,12/11/17,1200,1350,M  W  F ,AT 262E,1,Potts,D. Potts,,Dale Potts
